Label,Type,Tags,Description,End Date,Member Link to List,Publication Date,Size,Start Date,Website,Wikipedia Article
Document Security Alliance,Organization / Trade Association,,"The Document Security Alliance (DSA) was created by government agencies, private industry and academia. DSA's goal is to identify methods of improving security documents and related procedures to help combat the growing acts of fraud, terrorism, illegal immigration, identity theft, and other criminal acts.

DSA members - in both government and private industry - draw upon a wide range of knowledge and detailed technical disciplines to accomplish this goal. The group is committed to develop recommendations to appropriate federal and state government agencies, private industry, and policy makers in order to improve the process and procedures surrounding document security.",,,,,,http://www.documentsecurityalliance.com,
Information technology – Personal identification – ISO- compliant driving license (18013),Specification,,"This part of ISO/IEC 18013 establishes guidelines for the design format and data content of an ISO compliant driving licence (IDL) in regard to both visual human-readable features and ISO machine-readable technologies. It creates a common basis for international use and mutual recognition of the IDL without impeding individual national/community/regional motor vehicle authorities in taking care of their specific needs.
The design approach of the IDL ISO ID-1 size card and accompanying booklet with sleeve insert pocket is intended to replace the international driving permit (IDP) paper document (see annex G).
The basis of document design premises includes:
* a minimum common mandatory data element set; 
* a common layout for ease of recognition; 
* minimum security requirements.

At the discretion of national/community/regional motor vehicle authorities, it
* allows for inclusion of supplementary optional data elements to meet the needs of specific national/community/regional requirements apart from the minimum common mandatory data element set; 
* allows for the incorporation of ISO/IEC JTC1/SC17 machine-readable technologies including magnetic stripe, integrated circuit with contacts, contactless integrated circuit and optical memory technology, and ISO/IEC JTC1/SC31 1-dimensional / 2-dimensional bar codes, at the option of national/community/regional authorities;
* allows for the incorporation of current and future technologies (including biometrics, cryptography, data compression) at the option of national/community/regional authorities;
* allows for additional document physical security elements at the option of national/community/regional authorities, and facilitates international procurements.

A major benefit of these design premises is that a single card may serve a dual purpose of both a national/community/regional licence as well as an internationally recognized licence. Therefore, one card, in some cases, can replace the need for two documents. Alternatively, those countries that choose to maintain their individual domestic design can issue a second card with or without ISO machine-readable technologies to replace the current IDP paper document.

This new IDL design yields a document that:
* is more secure from counterfeiting and alteration than the previous IDP document;
* allows authorities to verify the authenticity of the document;
* integrates the personal data into a secure ID-1 size medium;
* allows a more reliable identification of the licence holder;
* allows for machine-readable technologies;
* facilitates information exchange and mutual recognition among motor vehicle authorities;
* allows the domestic driving licence (DDL) that meets this Standard to serve simultaneously as an ISO compliant driving licence (IDL).

ISO/IEC 18013 establishes guidelines for the design format and data content of an ISO-compliant driving licence (IDL) with regard to human-readable features (ISO/IEC 18013-1), ISO machine-readable technologies (ISO/IEC 18013-2), and access control, authentication and integrity validation (ISO/IEC 18013-3). It creates a common basis for international use and mutual recognition of the IDL without impeding individual countries/states in applying their privacy rules and national/community/regional motor vehicle authorities in taking care of their specific needs.
The purpose of storing IDL data on machine-readable media on the IDL is to
* increase productivity (of data and IDL use), 
* facilitate electronic data exchange,
* assist in authenticity and integrity validation.

part of ISO/IEC 18013 thus specifies the following: 
* mandatory and optional machine-readable data;
* the logical data structure;
* encoding rules for the machine-readable technologies currently supported.

To prevent unauthorised access to the data contained on a contactless integrated circuit (e.g. by eavesdropping), provision is made to protect the privacy of the licence holder via basic access protection [requiring a human- readable and/or machine-readable key/password on the IDL to access the data on the contactless integrated circuit (via protected-channel communication)]. The implementation details of this function however are defined in ISO/IEC 18013-3.
Provision is made for issuing authorities to validate the authenticity and integrity of the mandatory and optional data. In addition, the option of protecting access to optional data (beyond basic access protection) is provided for. The exact mechanism used to achieve such protection (e.g. encryption and/or additional access control) is specified in ISO/IEC 18013-3.

This International Standard establishes guidelines for the design format and data content of an ISO compliant driving licence (IDL) with regard to Human-readable features (Part 1), Machine-readable technologies (Part 2), and Access control, authentication and integrity validation (Part 3). It creates a common basis for international use and mutual recognition of the IDL without impeding individual countries/states to apply their privacy rules and national/community/regional motor vehicle authorities in taking care of their specific needs.
This Part of ISO/IEC 18013:
*  Is based on the machine-readable data content specified in ISO/IEC 18013-2.
*  Specifies mechanisms and rules available to issuing authorities for:
(a) Access control (i.e. limiting access to the machine readable data recorded on the IDL).
(b) Document authentication (i.e. confirming that the document was issued by the claimed issuing authority). 
(c) Data integrity validation (i.e. confirming that the data was not changed since issuing).

This Part of ISO/IEC 18013 does not address issues related to the subsequent use of data obtained from the IDL, e.g. privacy issues.",,,,,,,
Identification cards – Machine readable travel documents – Part 2: Machine readable visasInformation technology – Open terminal architecture (OTA) specification – Virtual machine specification (20060),Specification,,"This document is one of several documents containing the Implementation Specification of Europay’s Open Terminal Architecture. Other volumes in this series specify the Forth and C language programming interfaces, as well as the EMV application library and the Terminal Kernal Test Program (see related publications).
The overall architecture of the Open Terminal Architecture is described in Appendix F, “System Architecture,” and is based on a Virtual Machine (VM) that can be programmed using high-level languages such as Forth or C. For compactness and efficiency a tokenised form has been developed for delivering compiled programs to terminals of all CPU types. This and other Virtual Machine related issues are explained in Section 3.
This International Standard describes a set of functions to be implemented in terminals in terms of instructions for a Virtual Machine. With these functions the application programmer is able to generate application software that is compact, portable and certifiable on all OTA terminals.",,,,,,,
Trust Elevation TC,Working Group,,"The OASIS Trust Elevation TC works to define a set of standardized protocols that service providers may use to elevate the trust in an electronic identity credential presented to them for authentication. The Trust Elevation TC is intended to respond to suggestions from the public sector, including the U.S. National Strategy for Trusted Identities in Cyberspace (NSTIC). The Trust Elevation TC promotes interoperability among multiple identity providers--and among multiple identity federations and frameworks--by facilitating clear communication about common and comparable operations to present, evaluate and apply identity [data/assertions] to sets of declared authorization levels.",,,,,,https://www.oasis-open.org/committees/trust-el/,
GAIA Global Access to the Internet for All Research Group,Research Project,,"The Internet Society’s Global Internet User Survey 2012 reveals that a large majority of respondents believe that Internet access should be considered a basic human right. However, in the reality of today’s Internet, the vision of global access to the Internet faces the challenge of a growing digital divide, i.e., a growing disparity between those with sufficient access to the Internet and those who cannot afford access to the essential services provided by the Internet.

Access problems often result from sparsely spread populations living in physically remote locations, since it is simply not cost effective for Internet Service Providers (ISPs) to install the required infrastructure for broadband Internet access to these areas. In addition to the physical limitations of terrestrial infrastructures (mainly due to distance) to provide last mile access, remote communities also incur higher costs for connection between the exchange and backbone network when using wired technologies. A large exchange may accommodate many users and allow for competition between service operators; in contrast, a rural/remote broadband exchange often does not offer economies of scale, raising the costs per user. Thus, although service requirements for customers in rural/remote areas and cities are identical, the delivery and pricing mechanisms need to be different. This requirement is also applicable to urban areas where cost of access is considered as a major impediment for wider access.

Addressing digital exclusion due to socio-economic barriers is also extremely important. The United Nations revealed the global disparity in fixed broadband access, showing that access to fixed broadband mainly in less- developed countries costs almost 40 times their national average income. This problem is even encountered in developed countries, where many individuals find themselves unable to pass a necessary credit check or live in circumstances that are too unstable to commit to lengthy broadband contracts.

There are policy and research challenges at the level of social science, economics and technology to the realisation of a future Internet capability that will offer unfettered access to all parts of society. There can be no single uniform solution that embraces all types of user and all locations, given the impact that social aspects (such as different human needs and aspirations) have on building technological solutions. It is important to emphasize that there also is room for innovation and experimentation in policy. The major obstacles to more persistent and affordable access in sub-Saharan Africa, parts of Asia, the Middle East, and other regions are not technological but regulatory. There is a need for innovative regulation and reformed public policy to enable new business models and wireless technologies to flourish. Moreover, the social science dimension of an universal Internet must not be forgotten, capturing the impact of human values on the design decisions of underlying solutions on the one hand and the impact of the Internet on the human value network on the other hand.

### Objectives
The Global Access to the Internet for All Research Group (GAIA) is an IRTF initiative that aims
1. to create increased visibility and interest among the wider community on the challenges and opportunities in enabling global Internet access, in terms of technology as well as the social and economic drivers for its adoption;
2. to create a shared vision among practitioners, researchers, corporations, non governmental and governmental organisations on the challenges and opportunities;
3. to articulate and foster collaboration among them to address the diverse Internet access and architectural challenges (including security, privacy, censorship and energy efficiency);
4. to document and share deployment experiences and research results to the wider community through scholarly publications, white papers, presentations, workshops, Informational and Experimental RFCs;
5. to document the costs of existing Internet Access, the breakdown of those costs (energy, manpower, licenses, bandwidth, infrastructure, transit, peering), and outline a path to achieve a 10x reduction in Internet Access costs especially in geographies and populations with low penetration.
6. to develop a longer term perspective on the impact of GAIA research group findings on the standardisation efforts at the IETF. This could include recommendations to protocol designers and architects.",,,,,,https://irtf.org/gaia,
At the Nexus of Cybersecurity and Public Policy: Some Basic Concepts and Issues,Publication,,,,,,,,,
FIDO 2.0: Signature format,Specification,,"A FIDO 2.0 signature proves possession of a private key of a FIDO 2.0 credential and asserts contextual information about the client and authenticator that generated it. This specification describes the data structures representing these assertions, how they are serialized to byte streams for signing with an authenticator, and the representation of the resulting signature and its associated data.",,,,,,http://www.w3.org/Submission/2015/SUBM-fido-signature-format-20151120/,
OpenID Connect Profile for SCIM Services,Specification,,"SCIM (RFC7644) is an IETF protocol that enables HTTP clients to retrieve and manage cross-domain identities. OpenID Connect 1.0 is a simple identity layer on top of the OAuth 2.0 protocol which offers access to profile information through a UserInfo endpoint. This specification defines how OpenID Connect relying parties may discover availability of and register for, and access, SCIM services as part of an OpenID Provider (OP) services.",,,,,,http://openid.net/specs/openid-connect-scim-profile-1_0.html,
Smart Society Project,Research Project,,"The SmartSociety Project constitutes a Consortium capable of achieving all its goals due to its excellence, complementarities and multidisciplinarity, covering all the necessary roles in the project. The SmartSociety Consortium is balanced in terms of roles and expertise, blending strong ICT competences in a variety of fields with strong multidisciplinary expertise.

The Consortium comprises 10 partners out of which 8 represent top-level academic institutions and 2 are research-intensive high-tech small and medium enterprises (SMEs). The academic partners bring excellence and knowledge to achieve the ambitious objective of defining a foundational framework for hybrid and diversity-aware collective adaptive systems. The SMEs will provide their competences to integrate the devised design and control principles into a working platform and to validate the theoretical findings of the Consortium with end users. They will also lead the exploitation activities.",2016-12-31,,,,2013-01-01,http://www.smart-society-project.eu/consortium/,
OAuth Dynamic Client Registration Management (RFC7592),Specification,,,,,,,,,
Data protection Directive,Legislation,,,,,,,,http://eur-lex.europa.eu/legal-content/en/ALL/?uri=CELEX:31995L0046,
Privacy Research and Best Practices:  Summary of a Workshop for the Intelligence Community,Publication,,"Recent disclosures about the bulk collection of domestic phone call records and other signals intelligence programs have stimulated widespread debate about the implications of such practices for the civil liberties and privacy of Americans. In the wake of these disclosures, many have identified a need for the intelligence community to engage more deeply with outside privacy experts and stakeholders.",,,,,,http://www.nap.edu/catalog/21879/privacy-research-and-best-practices-summary-of-a-workshop-for,
Technische Universität Darmstadt,University,,,,,,,,,
Identification cards – Machine readable travel documents – Part 1: Machine readable passport,Specification,,"The following document is adopted as ISO/IEC International Standard 7501-1:2007 – Sixth Edition of the International Civil Aviation Organization (ICAO) Document; i.e. Doc 9303 

Part 1 - Machine Readable Passports; specifically,
From Volume 1 - Passports with Machine Readable Data Stored in Optical Character Recognition Format
Section II: Technical specifications for machine readable passports - References and definitions; 
Section III: Technical specifications for the security of the design, manufacture and issuance of machine readable travel documents; and
Section IV: Technical specifications for machine readable passports

From Volume 2 - Specifications for Electronically Enabled Passports with Biometric Identification Capability
Section II: The deployment of biometric identification and the electronic storage of data in machine readable passports;
Section III: A logical data structure for contactless integrated circuit data storage technology; and
Section IV:  PKI for machine readable travel documents offering ICC read only access


ISO/IEC International Standard 7501-1:2007 is intended for use in all applications relating to machine readable passports. It specifies the form and provides guidance on the construction of machine readable passports (MRPs), in particular in relation to those aspects of the MRP where details of the rightful holder are presented in a form which is both visual and machine readable. It equally defines the specifications to be used by States wishing to issue an electronically enabled version of the machine readable passport (ePassport) for secure carriage and access to an expanded set of details, including globally interoperable biometric data for confirming the presenter as the rightful-holder of the ePassport.

ISO/IEC International Standard 7501-1:2007 is based on a Standard established by the International Civil Aviation Organization; ICAO Doc 9303 Part 1. ICAO Doc 9303 

Part 1 is maintained by a Technical Advisory Group on Machine Readable Travel Documents (TAG/MRTD). ISO/IEC JTC1 has and continues to provide liaison during the TAG/MRTD meetings on ICAO Doc 9303 Part 1 and considered the technical specifications to which the endorsement notice applies.",,,,,,,
Biometric Recognition: Challenges and Opportunities,Publication,,"Biometric recognition--the automated recognition of individuals based on their behavioral and biological characteristic--is promoted as a way to help identify terrorists, provide better control of access to physical facilities and financial accounts, and increase the efficiency of access to services and their utilization. Biometric recognition has been applied to identification of criminals, patient tracking in medical informatics, and the personalization of social services, among other things. In spite of substantial effort, however, there remain unresolved questions about the effectiveness and management of systems for biometric recognition, as well as the appropriateness and societal impact of their use. Moreover, the general public has been exposed to biometrics largely as high-technology gadgets in spy thrillers or as fear-instilling instruments of state or corporate surveillance in speculative fiction.",,,,,,http://www.nap.edu/catalog/12720/biometric-recognition-challenges-and-opportunities,
epSOS,Project Pilot/Proof of Concept,Europe|Health|over,"epSOS aimed to design, build and evaluate a service infrastructure that demonstrates cross-border interoperability between electronic health record systems in Europe.

Cross-border eHealth Services
epSOS attempts to offer seamless healthcare to European citizens. Key goals are to improve the quality and safety of healthcare for citizens when travelling to another European country. Moreover, it concentrates on developing a practical eHealth framework and ICT infrastructure that enables secure access to patient health information among different European healthcare systems. epSOS can make a significant contribution to patient safety by reducing the frequency of medical errors and by providing quick access to documentation as well as by increasing acessibility of ones prescribed medicine also abroad. In emergency situations, this documentation  provides the medical personnel with life-saving information and reduces the (sometimes needless) repetition of diagnostic procedures.
The technical, legal and organizational concepts developed within the framework of the project are subject to an extensive practical testing phase which will last until the end of the project. epSOS will tests cross-border eHealth services in the following areas.

epSOS in figures
Time period	1st July 2008 - 31st June 2014
Duration	72 months (6 years)
Volume	€ 36,5 Million: co-funded by the European Commission Competitiveness and Innovation Programme (CIP) within the ICT Policy Support Programme
Number of Beneficiaries (formation of the consortium)	45 Beneficiaries:
Consisting of national ministries of health, national/regional competence centers , a consortium of industry and the Project Management Team:
• Technical Project Management Leader: gematik
• Administrative Project Management: empirica
• Project Coordination: SALAR
Number of countries	25 different European countries: 22 EU member states and 3 non-EU member states.",,,,,,http://www.epsos.eu,
Bern University of Applied Sciences,University,,,,,,,,http://www.bfh.ch/en/home.html,
Veridos,Company,,"The entire world of sophisticated identity solutions for governments and their citizens

Veridos GmbH creates secure and pioneering identification and identity solutions. The joint venture between Giesecke & Devrient GmbH, Munich, and Bundesdruckerei GmbH, Berlin, pools the specialist expertise, the many years of experience, and the innovative power of the two largest German providers for high-security technologies to serve the international market. Veridos offers its customers a unique product portfolio from a single source. For instance, it covers the entire value chain for passports, from paper right through to the eGates. The German company is a reliable partner valued by governments and public authorities throughout the world.",,,,,,https://www.veridos.com,
Cross-Enterprise Security and Privacy Authorization (XSPA),Working Group,,,,,,,,,
Identification cards – Contactless integrated circuit(s) cards – Proximity integrated circuit(s) cards (14443),Specification,,,,,,,,,
Rainer Hoerbe,Person,,,,,,,,,
Virginia Identity Management Standards Advisory Council,Part of a Government,,,,,,,,,
Internet Architecture Board (IAB),Working Group,,"The Internet Architecture Board provides long-range technical direction for Internet development, ensuring the Internet continues to grow and evolve as a platform for global communication and innovation.

In its work, the IAB strives to:
* Ensure that the Internet is a trusted medium of communication that provides a solid technical foundation for privacy and security, especially in light of pervasive surveillance,
* Establish the technical direction for an Internet that will enable billions more people to connect, support the vision for an Internet of Things, and allow mobile networks to flourish, while keeping the core capabilities that have been a foundation of the Internet’s success, and
* Promote the technical evolution of an open Internet without special controls, especially those which hinder trust in the network.",,,,,1979-01-01,https://www.iab.org,https://en.wikipedia.org/wiki/Internet_Architecture_Board
3rd Generation Partnership Project (3GPP),Organization / Trade Association,,"The 3rd Generation Partnership Project (3GPP) unites [Seven] telecommunications standard development organizations (ARIB, ATIS, CCSA, ETSI, TSDSI, TTA, TTC), known as “Organizational Partners” and provides their members with a stable environment to produce the Reports and Specifications that define 3GPP technologies.

The project covers cellular telecommunications network technologies, including radio access, the core transport network, and service capabilities - including work on codecs, security, quality of service - and thus provides complete system specifications. The specifications also provide hooks for non-radio access to the core network, and for interworking with Wi-Fi networks.

3GPP specifications and studies are contribution-driven, by member companies, in Working Groups and at the Technical Specification Group level.",,,,,,http://www.3gpp.org,
“Identity” Commandments,Publication,,"The Jericho Forum Identity, Entitlement & Access Management (IdEA) Commandments define the principles that must be observed when planning an identity eco-system.
Whilst building on “good practice”, these commandments specifically address those areas that will allow “identity” processes to operate on a global, de-perimeterised scale; this necessitates open and interoperable standards and a commitment to implement such standards by both identity providers and identity consumers
.
The IdEA commandments serve as a benchmark by which Identity, Entitlement and Access Management concepts, solutions, standards and systems can be assessed and measured. They are supported by a Jericho Forum IdEA Glossary and other related documents. They also build on the higher level Jericho Forum Commandments, in particular Commandments 2, 8, 9 and 10.

Identity and Core Identity
1. All core identities must be protected to ensure their secrecy and integrity
2. Identifiers must be able to be trusted
3. The authoritative source of identity will be the unique identifier or credentials offered by the persona representing that entity

Multiple Identities (Persona)
4. An Entity can have multiple, separate Persona (Identities) and related
unique identifiers
5. Persona must, in specific use cases, be able to be seen as the same

Persona (Identity) Attributes
6. The attribute owner is responsible for the protection and appropriate
disclosure of the attribute
7. Connecting attributes to persona must be simple and verifiable
8. The source of the attribute should be as close to the authoritative source as
possible

Entitlement management and resource access
9. A resource owner must define Entitlement (Resource Access Rules)
10.Access decisions must be relevant, valid and bi-directional

Usage and Delegation
11. Users of an entity’s attributes are accountable for protecting the attributes
12.Principals can delegate authority to another to act on behalf of a persona
13.Authorised Principals may acquire access to (seize) another entity’s persona
14.A persona may represent, or be represented by, more than one entity 

Conclusion
The shift from Enterprise and Application or System Centric Identity and Access Management to User and Resource Centric Identity, Entitlement and Access Management holds the triple promises of Lower Cost, Higher Security/Trust and Increased Flexibility. These benefits will have a major positive impact on the way the world will innovate and trade. The new frame must however be managed with the context created by these Commandments to gain these benefits.

There is also a major infrastructure investment required to create the next generation “Identity” Management approach. This investment in turn requires a shift in the business model and the enthusiastic uptake of the services that will encourage a cultural shift that will value Transparency as much as it does Privacy. Open access to the reputation of entities will go a long way to raising the eTrust barrier.",,,,,,https://collaboration.opengroup.org/jericho/Jericho%20Forum%20Identity%20Commandments%20v1.0.pdf,https://en.wikipedia.org/wiki/Jericho_Forum
American Bar Association: Identity Management Legal Taskforce,Organization / Trade Association,,,,,,,,,
Social Security Administration,Part of a Government,,,,,,,,,
OASIS,Organization / Trade Association,,,,,,,,https://www.oasis-open.org/,
UMA Profile of OAuth 2.o,Specification,,,,,,,,,
Keeping Identities Safe (Coalition for Secure Drivers Licenses),Non Governmental Organization,,,,,,,,,
CBOR Object Signing and Encryption (COSE),Working Group,,"Concise Binary Object Representation (CBOR) is data format designed
   for small code size and small message size.  There is a need for the
   ability to have the basic security services defined for this data
   format.  This document defines the CBOR Object Signing and Encryption
   (COSE) specification.  This specification describes how to create and
   process signature, message authentication codes and encryption using
   CBOR for serialization.  This specification additionally specifies
   how to represent cryptographic keys using CBOR.",,,,,,https://datatracker.ietf.org/doc/draft-ietf-cose-msg/,
Cogito Group,Company,,"Cogito Group is an Australian owned ICT company dedicated to providing organisations with digital security solutions.

Cogito Group assists organisations with their digital security and authentication requirements. We take the ‘trust’ conventions that work in the physical market place, that protect organisations from fraud, such as photo identification; hand written signatures, – and make them work online.",,,,,,https://cogitogroup.com.au,
Fraunhofer Group for Defense and Security VVS,Company,Europe,,,,,,,http://www.vvs.fraunhofer.de/servlet/is/100261/,
Western Hemisphere Travel Initiative,Part of a Government,,,,,,,,https://www.cbp.gov/travel/us-citizens/western-hemisphere-travel-initiative,
Dick Hardt,Person,,,,,,,,,
Working Paper on Location Tracking from Communications of Mobile Devices,Publication,,"The Working Group has previously identified risks related to “the capture of location and other personal data about the network user”. The Working Group has also adopted a common position on privacy and location information in mobile communications services and discussed the use of deep packet inspection for marketing purposes.

This Working Paper specifically examines the data protection and privacy risks associated with the collection of device-related information and deriving location data from communications data. An example would be the use of Wi-Fi probe requests originating from devices such as smart phones for the analysis of footfall and traffic routes within a retail environment.",,,,,,https://datenschutz-berlin.de/attachments/1161/WP_Location_Tracking_675.51.12.pdf?1452763989,
Forensic Implications,Publication,,"D5.1: A survey on legislation on ID theft in the EU and…
D5.2: ID Fraud Workshop
D5.2b: ID-related Crime: Towards a Common Ground for Interdisciplinary Research
D5.2c: Identity related crime in the world of films
D5.3: A Multidisciplinary Article on Identity-related Crime
D5.4: Anonymity in electronic government: a case-study analysis of governments’ identity knowledge
D6.1: Forensic Implications of Identity Management Systems
D6.5/D6.6: Second thematic Workshop forensic implications
D6.7b: Workshop on Forensic Profiling
D6.7c: Forensic Profiling
D6.8a: Workshop on Identification of Images
D6.8b: Identification of images",,,,,,http://www.fidis.net/resources/fidis-deliverables/forensic-implications/,
CEF Energy,Research Project,,"The EU’s energy infrastructure is aging and, in its current state, not suited to match future demand for energy, to ensure security of supply or to support large-scale deployment of energy from renewable sources. The upgrading of existing, and development of new energy transmission infrastructures of European importance will require investments of about €140 billion in electricity and at least €70 billion in gas.

Despite the regulatory measures and policies that are currently put in place to facilitate such investments, under current market and regulatory conditions some energy projects are not commercially viable, and would normally not make it into investment programmes of infrastructure developers.

CEF is engineered to address both groups of factors behind the investment gap in the energy sector. Financial instruments, by bringing in new classes of investors and mitigating certain risks, will help project promoters to access the necessary financing for their projects. Grants to contribute to the construction costs will be applied to fill in the gaps in commercial viability of the projects that are particularly relevant for Europe.

A  total budget of €5.35 billion is made available for energy projects for the 2014-2020 period, of which €4.7 in the form of grants managed by INEA.",,,,,,http://ec.europa.eu/inea/connecting-europe-facility/cef-energy,
Identity Law & Policy Workshop Amsterdam,Event,,,,,,,,,
Symantec,Company,,,,,,,,,
MONDRNA,Working Group,,"MODRNA (pronounced modernah) stands for Mobile Operator Discovery, Registration &  autheNticAtion. The MODRNA WG will develop a profile of OpenID Connect intended to be appropriate for use by mobile network operators (MNOs) providing identity services to RPs and for RPs in consuming those services as well as any other party wishing to be interoperable with this profile. Moreover, the WG will develop extensions to OpenID Connect as needed in the context of GSMA’s Mobile Connect initiative, such as server-initiated authentication, transaction authorization, and account migration. Additionally, it will identify and make recommendations for additional standards items.",,,,,,http://openid.net/wg/mobile/,
Identity Management and Privacy Technologies WG5,Working Group,,"The terms of reference of this working group are:

The scope of SC 27/WG 5 covers the development and maintenance of standards and guidelines addressing security aspects of identity management, biometrics and the protection of personal data.
This includes:

1. Current SC 27 projects:
* Framework for Identity Management (ISO/IEC 24760)
* Biometric template protection (ISO/IEC 24745)
* Authentication context for biometrics (ISO/IEC 24761)

2. Identification of requirements for and development of future standards and guidelines in these areas. For example in the area of Identity Management, topics such as:
* Role based access control
* Provisioning
* Identifiers
* Single sign-on

In the area of Privacy, topics such as
* A Privacy Framework
* A Privacy Reference Architecture
* Privacy infrastructures
* Anonymity and credentials
* Specific Privacy Enhancing Technologies (PETs)
* Privacy Engineering

In the area of Biometrics, topics such as
* Protection of biometric data
( Authentication techniques

3. Collaboration with other Working Groups in SC 27, e.g., WG 1 on management aspects, WG 2 on specific cryptographic techniques and WG 3 on evaluation aspects.

4. Liaison and collaboration with those organizations and committees dealing with specific requirements and guidelines for services and applications in this area, for example:

ISO/IEC SC 37 Biometrics
ECRYPT
ISO/TC68/SC2 Financial Services Security
ISO/TC68/SC6/WG10 Financial Services-Retail Financial Services-Privacy
ITU-T SG17 Security, languages and telecommunication software
Future of Identity in the Information Society (FIDIS)
The International Conference of Data Protection and Privacy Commissioners
The Open Group (IdM Forum and Jericho Forum)",,,,,,,
OAuth Token Introspection (RFC7662),Specification,,,,,,,,,
CA Technologies,Company,,,,,,,,,
General Data Protection Regulation,Legislation,,"The Reform consists of two instruments:
* The General Data Protection Regulation will enable people to better control their personal data. At the same time modernised and unified rules will allow businesses to make the most of the opportunities of the Digital Single Market by cutting red tape and benefiting from reinforced consumer trust.
* The Data Protection Directive for the police and criminal justice sector will ensure that the data of victims, witnesses, and suspects of crimes, are duly protected in the context of a criminal investigation or a law enforcement action. At the same time more harmonised laws will also facilitate cross-border cooperation of police or prosecutors to combat crime and terrorism more effectively across Europe. 

A fundamental right for citizens
The reform will allow people to regain control of their personal data. Two-thirds of Europeans (67%), according to a recent Eurobarometer survey, stated they are concerned about not having complete control over the information they provide online. Seven Europeans out of ten worry about the potential use that companies may make of the information disclosed. The data protection reform will strengthen the right to data protection, which is a fundamental right in the EU, and allow them to have trust when they give their personal data.

The new rules address these concerns by strengthening the existing rights and empowering individuals with more control over their personal data. Most notably, these include:
* easier access to your own data: individuals will have more information on how their data is processed and this information should be available in a clear and understandable way;
* a right to data portability: it will be easier to transfer your personal data between service providers;
* aclarified ""right to be forgotten"": when you no longer want your data to be processed, and provided that there are no legitimate grounds for retaining it, the data will be deleted;
* the right to know when your data has been hacked: For example, companies and organisations must notify the national supervisory authority of serious data breaches as soon as possible so that users can take appropriate measures. 

Clear modern rules for businesses
In today's digital economy, personal data has acquired enormous economic significance, in particular in the area of big data. By unifying Europe's rules on data protection, lawmakers are creating a business opportunity and encouraging innovation.
* One continent, one law: The regulation will establish one single set of rules which will make it simpler and cheaper for companies to do business in the EU.
* One-stop-shop: businesses will only have to deal with one single supervisory authority. This is estimated to save €2.3 billion per year.
* European rules on European soil– companies based outside of Europe will have to apply the same rules when offering services in the EU.
* Risk-based approach: the rules will avoid a burdensome one-size-fits-all obligation and rather tailor them to the respective risks.
* Rules fit for innovation: the regulation will guarantee that data protection safeguards are built into products and services from the earliest stage of development (Data protection by design). Privacy-friendly techniques such as pseudonomysation will be encouraged, to reap the benefits of big data innovation while protecting privacy. 

Benefits for big and small alike
The data protection reform will stimulate economic growth by cutting costs and red tape for European business, especially for small and medium enterprises (SMEs). The EU's data protection reform will help SMEs break into new markets. Under the new rules, SMEs will benefit from four reductions in red tape:
* No more notifications: Notifications to supervisory authorities are a formality that represents a cost for business of €130 million every year. The reform will scrap these entirely.
* Every penny counts: Where requests to access data are manifestly unfounded or excessive, SMEs will be able to charge a fee for providing access.
* Data Protection Officers: SMEs are exempt from the obligation to appoint a data protection officer insofar as data processing is not their core business activity.
* Impact Assessments: SMEs will have no obligation to carry out an impact assessment unless there is a high risk. 

Protecting personal data in the area of law enforcement
* Better cooperation between law enforcement authorities
With the new Data Protection Directive for Police and Criminal Justice Authorities, law enforcement authorities in EU Member States will be able to exchange information necessary for investigations more efficiently and effectively, improving cooperation in the fight against terrorism and other serious crime in Europe.
The Data Protection Directive for Police and Criminal Justice Authorities takes account of the specific needs of law enforcement, respects the different legal traditions in Member States and is fully in line with the Charter of Fundamental Rights.  
Better protection of citizens 'data
Individuals' personal data will be better protected, whenprocessed for any law enforcement purpose including prevention of crime. It will protect everyone – regardless of whether they are a victim, criminal or witness. All law enforcement processing in the Union must comply with the principles of necessity, proportionality and legality, with appropriate safeguards for the individuals. Supervision is ensured by independent national data protection authorities, and effective judicial remedies must be provided.
The Data Protection Directive for Police and Criminal Justice Authorities provides clear rules for the transfer of personal data by law enforcement authorities outside the EU, to ensure that the level of protection of individuals guaranteed in the EU is not undermined. 

Next steps
Following political agreement reached in trilogue, the final texts will be formally adopted by the European Parliament and Council at the beginning 2016. The new rules will become applicable two years thereafter.
The Commission will work closely with Member State Data protection authorities to ensure a uniform application of the new rules. During the two-year transition phase, the Commission will inform citizens about their rights and companies about their obligations.
Data Protection Authorities will work more closely together in the future, especially through the one-stop shop mechanism to solve cross-border data protection cases. 

Background
The Data protection package is a key enabler of the Digital Single Market and the EU Agenda on Security.
Proposed by then EU Justice Commissioner, Vice-President Viviane Reding in January 2012 (see IP/12/46), the data protection reform package includes the General Data Protection Regulation and the data Protection Directive for Police and Criminal Justice Authorities. It updates and replaces the current Data protection rules that are based on the 1995 Data Protection Directive and the 2008 Framework Decision for the police and criminal justice sector.",,,,,,http://europa.eu/rapid/press-release_IP-15-6321_en.htm,
Oberthur,Company,,,,,,,,http://www.oberthur.com,
